Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
7/29/2019,Monday,7:30 AM,1,0,0,0,0,1
7/29/2019,Monday,8:30 AM,1,0,0,0,1,2
7/29/2019,Monday,9:30 AM,5,0,1,3,0,9
7/29/2019,Monday,10:30 AM,3,0,1,2,0,6
7/29/2019,Monday,3:30 PM,1,0,2,0,0,3
7/29/2019,Monday,2:30 PM,2,0,2,0,0,4
7/29/2019,Monday,4:30 PM,1,1,2,0,0,4
7/29/2019,Monday,5:30 PM,1,1,1,0,1,4
7/30/2019,Tuesday,7:30 AM,0,0,0,0,0,0
7/30/2019,Tuesday,8:30 AM,1,0,0,1,0,2
7/30/2019,Tuesday,11:30 AM,4,0,0,0,0,4
7/30/2019,Tuesday,12:30 PM,2,0,1,0,0,3
7/30/2019,Tuesday,1:30 PM,5,5,4,0,0,14
7/30/2019,Tuesday,2:30 PM,6,0,3,0,0,9
7/30/2019,Tuesday,4:30 PM,4,0,3,0,0,7
7/30/2019,Tuesday,5:30 PM,2,2,2,0,0,6
7/31/2019,Wednesday,7:30 AM,1,0,0,0,0,1
7/31/2019,Wednesday,8:30 AM,1,0,0,0,0,1
7/31/2019,Wednesday,10:30 AM,5,1,2,0,0,8
7/31/2019,Wednesday,11:30 AM,2,0,0,0,0,2
7/31/2019,Wednesday,12:30 PM,4,1,3,1,0,9
7/31/2019,Wednesday,1:30 PM,2,1,4,0,0,7
7/31/2019,Wednesday,2:30 PM,3,1,1,0,0,5
7/31/2019,Wednesday,5:30 PM,1,0,0,0,0,1
8/1/2019,Thursday,7:30 AM,0,0,0,0,0,0
8/1/2019,Thursday,9:30 AM,1,2,1,0,0,4
8/1/2019,Thursday,11:30 AM,4,4,4,0,0,12
8/1/2019,Thursday,12:30 PM,1,1,4,0,0,6
8/1/2019,Thursday,1:30 PM,3,1,3,0,0,7
8/1/2019,Thursday,2:30 PM,3,1,4,0,0,8
8/1/2019,Thursday,4:30 PM,1,0,1,0,0,2
8/1/2019,Thursday,5:30 PM,2,0,1,0,0,3
8/2/2019,Friday,7:30 AM,0,0,0,0,0,0
8/2/2019,Friday,8:30 AM,2,0,0,0,0,2
8/2/2019,Friday,9:30 AM,4,0,0,0,0,4
8/2/2019,Friday,10:30 AM,4,0,0,0,0,4
8/2/2019,Friday,11:30 AM,4,1,2,0,0,7
8/2/2019,Friday,12:30 PM,4,1,2,0,0,7
8/2/2019,Friday,1:30 PM,3,0,3,0,0,6
8/5/2019,Monday,7:30 AM,1,0,0,0,0,1
8/5/2019,Monday,8:30 AM,2,1,2,0,0,5
8/5/2019,Monday,9:30 AM,1,1,2,0,0,4
8/5/2019,Monday,10:30 AM,8,2,0,0,0,10
8/5/2019,Monday,11:30 AM,5,2,2,0,0,9
8/5/2019,Monday,12:30 PM,4,2,4,0,0,10
8/5/2019,Monday,1:30 PM,2,2,4,0,0,8
8/5/2019,Monday,2:30 PM,5,0,3,0,0,8
8/5/2019,Monday,4:30 PM,1,2,1,1,0,5
8/6/2019,Tuesday,7:30 AM,1,0,0,0,0,1
8/6/2019,Tuesday,8:30 AM,1,0,0,0,0,1
8/6/2019,Tuesday,9:30 AM,1,0,0,0,0,1
8/6/2019,Tuesday,10:30 AM,2,0,0,0,0,2
8/6/2019,Tuesday,11:30 AM,6,2,1,0,0,9
8/6/2019,Tuesday,12:30 PM,3,0,3,0,0,6
8/6/2019,Tuesday,2:30 PM,4,1,1,0,0,6
8/6/2019,Tuesday,4:30 PM,3,1,3,0,0,7
8/6/2019,Tuesday,5:30 PM,4,1,2,0,0,7
8/7/2019,Wednesday,7:30 AM,2,0,0,0,0,2
8/7/2019,Wednesday,8:30 AM,2,0,0,0,0,2
8/7/2019,Wednesday,9:30 AM,2,0,0,0,0,2
8/7/2019,Wednesday,10:30 AM,2,0,1,0,0,3
8/7/2019,Wednesday,11:30 AM,2,0,0,0,0,2
8/7/2019,Wednesday,12:30 PM,3,1,3,0,0,7
8/7/2019,Wednesday,1:30 PM,1,1,2,0,0,4
8/7/2019,Wednesday,2:30 PM,1,1,2,0,0,4
8/7/2019,Wednesday,4:30 PM,1,3,3,0,0,7
8/7/2019,Wednesday,5:30 PM,3,0,3,0,0,6
8/8/2019,Thursday,7:30 AM,0,0,0,0,0,0
8/8/2019,Thursday,8:30 AM,0,0,0,0,0,0
8/8/2019,Thursday,9:30 AM,0,0,0,0,0,0
8/8/2019,Thursday,10:30 AM,3,0,0,0,0,3
8/8/2019,Thursday,10:30 AM,3,0,0,0,0,3
8/8/2019,Thursday,11:30 AM,5,0,0,0,0,5
8/8/2019,Thursday,12:30 PM,5,0,1,0,0,6
8/8/2019,Thursday,1:30 PM,6,0,0,0,0,6
8/8/2019,Thursday,2:30 PM,7,1,2,0,0,10
8/8/2019,Thursday,1:30 PM,3,1,3,0,4,11
8/8/2019,Thursday,2:30 PM,3,0,2,0,0,5
8/8/2019,Thursday,5:30 PM,2,0,1,0,0,3
8/9/2019,Friday,7:30 AM,1,0,0,0,0,1
8/9/2019,Friday,8:30 AM,1,0,0,0,0,1
8/9/2019,Friday,9:30 AM,2,0,0,0,0,2
8/9/2019,Friday,10:30 AM,4,0,0,0,0,4
8/9/2019,Friday,11:30 AM,5,0,1,0,0,6
8/9/2019,Friday,12:30 PM,5,1,2,0,0,8
8/9/2019,Friday,1:30 PM,3,2,1,0,0,6
8/9/2019,Friday,2:30 PM,1,1,1,0,0,3
8/9/2019,Friday,4:30 PM,3,0,0,0,0,3
8/12/2019,Monday,7:30 AM,1,0,0,0,0,1
8/12/2019,Monday,7:30 AM,0,0,0,0,0,0
8/12/2019,Monday,8:30 AM,2,0,2,0,0,4
8/12/2019,Monday,9:30 AM,3,1,2,0,0,6
8/12/2019,Monday,10:30 AM,9,1,1,0,0,11
8/12/2019,Monday,11:30 AM,10,3,2,0,2,17
8/12/2019,Monday,12:30 PM,4,0,4,0,0,8
8/12/2019,Monday,12:30 PM,9,1,8,0,0,18
8/12/2019,Monday,1:30 PM,9,1,7,0,0,17
8/12/2019,Monday,2:30 PM,7,3,3,0,0,13
8/13/2019,Tuesday,7:30 AM,0,0,0,0,0,0
8/13/2019,Tuesday,8:30 AM,0,0,0,0,0,0
8/13/2019,Tuesday,9:30 AM,3,0,0,0,0,3
8/13/2019,Tuesday,10:30 AM,5,1,3,0,0,9
8/13/2019,Tuesday,10:30 AM,5,1,3,0,0,9
8/13/2019,Tuesday,11:30 AM,4,0,1,0,0,5
8/13/2019,Tuesday,12:30 PM,5,0,1,0,0,6
8/13/2019,Tuesday,2:30 PM,11,0,1,0,0,12
8/13/2019,Tuesday,4:30 PM,13,0,2,0,0,15
8/14/2019,Wednesday,7:30 AM,1,0,0,0,0,1
8/14/2019,Wednesday,8:30 AM,2,0,0,0,0,2
8/14/2019,Wednesday,9:30 AM,3,0,1,0,0,4
8/14/2019,Wednesday,10:30 AM,5,2,3,0,0,10
8/14/2019,Wednesday,11:30 AM,6,0,3,0,0,9
8/14/2019,Wednesday,12:30 PM,11,0,1,0,0,12
8/14/2019,Wednesday,2:30 PM,12,0,2,1,0,15
8/14/2019,Wednesday,3:30 PM,8,1,2,1,0,12
8/15/2019,Thursday,7:30 AM,0,0,0,0,0,0
8/15/2019,Thursday,8:30 AM,0,0,0,0,0,0
8/15/2019,Thursday,9:30 AM,4,0,3,0,0,7
8/15/2019,Thursday,10:30 AM,5,1,3,0,0,9
8/15/2019,Thursday,11:30 AM,13,1,1,0,0,15
8/15/2019,Thursday,12:30 PM,9,1,2,0,0,12
8/15/2019,Thursday,1:30 PM,12,0,0,0,0,12
8/15/2019,Thursday,2:30 PM,16,1,1,4,0,22
8/15/2019,Thursday,4:30 PM,11,0,0,2,0,13
8/16/2019,Friday,7:30 AM,2,0,0,0,0,2
8/16/2019,Friday,8:30 AM,3,0,1,0,0,4
8/16/2019,Friday,9:30 AM,4,1,1,0,0,6
8/16/2019,Friday,10:30 AM,14,0,0,0,0,14
8/16/2019,Friday,1:30 PM,8,0,4,0,0,12
8/16/2019,Friday,3:30 PM,6,0,0,0,0,6
8/16/2019,Friday,4:30 PM,7,0,1,0,0,8
